Year,Month,County,Count,Population,populationweightedcount,Monthlyavgpm2.5,MonthlyavgNO2,MonthlyavgOzone,MonthlyavgSO2,MonthlyavgCO,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,pct_unhealthy_days,pct_good_days,aqi_category,date,season,birth_rate_per_1000,county_size
2000,1,Alameda,1810.0,1449840,0.0012484136180544,13.494444444444444,20.77772817204301,0.0104170483870967,,0.8779153387096774,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.2484136180544059,Major
2000,1,Alpine,,1209,,,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,,Small
2000,1,Amador,27.0,35153,0.0007680710038972492,,,0.0195123548387096,,0.3814566666666666,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.7680710038972492,Small
2000,1,Butte,183.0,203807,0.0008979083152197912,26.5,16.554486576923075,0.0124622903225806,,0.915554,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8979083152197912,Large
2000,1,Calaveras,23.0,40645,0.0005658752614097675,18.0,,0.0176539677419354,,0.3487477580645161,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.5658752614097675,Small
2000,1,Colusa,22.0,18817,0.0011691555508316,3.7142857142857135,,0.0158217096774193,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1691555508316949,Small
2000,1,Contra Costa,1003.0,952810,0.0010526757695658,15.643243243243244,17.19486997580645,0.0110054032258064,1.6553206059907837,0.7522577177419355,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.0526757695658107,Large
2000,1,Del Norte,21.0,27440,0.0007653061224489796,,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.7653061224489796,Small
2000,1,El Dorado,142.0,157162,0.0009035262977055522,6.136363636363637,10.691795322580646,0.026653693548387,,0.3858407333333333,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.9035262977055523,Medium
2000,1,Fresno,1210.0,801288,0.0015100687892493,33.95,22.814720522580647,0.013787474025974,,1.0747993954248367,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.5100687892493085,Large
2000,1,Glenn,35.0,26416,0.001324954572986,,,0.018981064516129,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3249545729860692,Small
2000,1,Humboldt,103.0,126462,0.0008144739131122393,6.925,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8144739131122393,Medium
2000,1,Imperial,207.0,142410,0.0014535496102801,23.24375,26.323855612903227,0.0204724516129032,2.4729942580645163,1.5887990241935483,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.453549610280177,Medium
2000,1,Inyo,16.0,17955,0.0008911166805903648,,,0.0360886129032258,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8911166805903649,Small
2000,1,Kern,991.0,663803,0.0014929128069623,31.21818181818182,19.5443579124424,0.0170351346938775,,1.3015415161290322,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.4929128069623065,Large
2000,1,Kings,186.0,129835,0.0014325875149227,,18.903867857142856,0.0128656071428571,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.4325875149227867,Medium
2000,1,Lake,43.0,58538,0.0007345655813317845,2.9333333333333336,,0.0192713548387096,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.7345655813317845,Medium
2000,1,Lassen,19.0,33719,0.0005634805302648358,,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.5634805302648358,Small
2000,1,Los Angeles,13018.0,9538191,0.0013648290330944,27.25,35.81994221428572,0.0082531970074812,1.8694450161290324,1.5882587655086848,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3648290330944306,Major
2000,1,Madera,165.0,123587,0.0013350918785956,,18.748889666666667,0.0127227333333333,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3350918785956452,Medium
2000,1,Marin,218.0,247520,0.0008807369101486749,,18.683895612903225,0.0090772580645161,,0.9054080666666666,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8807369101486748,Large
2000,1,Mariposa,,17101,,,,0.0339601612903225,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,,Small
2000,1,Mendocino,87.0,86407,0.0010068628699063,8.991666666666667,10.277282258064515,0.0126089677419354,,0.60707525,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.0068628699063733,Medium
2000,1,Merced,297.0,212258,0.0013992405468816,30.65,14.618882964285714,0.0155235555555555,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3992405468816251,Large
2000,1,Modoc,,9406,,16.0,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,,Small
2000,1,Mono,,12921,,,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,,Small
2000,1,Monterey,610.0,402990,0.0015136852031067,7.547058823529412,10.288669222222222,0.01774775,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.513685203106777,Large
2000,1,Napa,120.0,124565,0.0009633524665837112,,15.730332677419357,0.0099639354838709,,0.9425709516129032,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.9633524665837113,Medium
2000,1,Nevada,62.0,92520,0.0006701253782965845,11.05,,0.0234287428571428,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.6701253782965845,Medium
2000,1,Orange,3803.0,2854513,0.0013322762937145,27.727027027027027,36.0004675483871,0.0107785564516129,3.1972550806451614,1.3962168427419357,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3322762937145496,Major
2000,1,Placer,219.0,251012,0.0008724682485299508,25.4,19.240660451612904,0.0127541063829787,,0.5665291774193548,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8724682485299508,Large
2000,1,Plumas,13.0,20754,0.0006263852751276862,16.727272727272727,,0.0185476206896551,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.6263852751276862,Small
2000,1,Riverside,1988.0,1558985,0.0012751886644194,20.388,24.74368862903226,0.0148284143646408,1.9686034516129032,1.192131247311828,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.275188664419478,Major
2000,1,Sacramento,1426.0,1229940,0.0011594061498934,28.10169491525424,18.110227564935062,0.0090743161290322,1.36543565,0.7758813387096775,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.159406149893491,Major
2000,1,San Benito,74.0,53781,0.0013759506145292,,,0.0210050833333333,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3759506145292948,Medium
2000,1,San Bernardino,2355.0,1718037,0.0013707504553161,20.26304347826087,26.75489022619048,0.0182633672316384,1.15647386,0.7095353666666666,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3707504553161545,Major
2000,1,San Diego,3574.0,2827366,0.0012640740533768,21.17113402061856,27.84131195709571,0.014296215339233,3.125503978494624,1.6200936091644205,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.2640740533768886,Major
2000,1,San Francisco,720.0,777885,0.0009255866869781524,12.243333333333334,26.291140774193547,0.0104136129032258,2.7741612903225805,0.9909298387096774,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.9255866869781523,Large
2000,1,San Joaquin,758.0,567885,0.001334777287655,35.09090909090909,22.78849629032258,0.0105590860215053,,0.9863402661290324,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.334777287655071,Large
2000,1,San Luis Obispo,178.0,247839,0.0007182081916082618,13.022222222222222,12.948139837398374,0.0170179673202614,1.9281932601626013,0.6932099677419354,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.7182081916082619,Large
2000,1,San Mateo,797.0,707820,0.0011259924839648,13.588235294117649,20.573632548387096,0.0102105483870967,,1.1367315161290323,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1259924839648499,Large
2000,1,Santa Barbara,446.0,399990,0.0011150278756968,9.658333333333331,9.423299770149251,0.0231748948787062,0.3654684631336405,0.4670848426229508,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1150278756968923,Large
